time,body1,body2,numContacts,cpx_avg,cpy_avg,cpz_avg,cnx_avg,cny_avg,cnz_avg,fx_avg,fy_avg,fz_avg,mx_avg,my_avg,mz_avg
3.35,Terrain0,hrp2[LLEG_JOINT5],10,0.232948669649,0.128214572145,-4.69734658305e-05,9.39724109469e-18,0.0,-1.0,-93.9958410785,-28.3083433963,212.804834192,-0.000272086615189,-0.00152574654152,-4.31155771505
3.37,Terrain0,hrp2[RLEG_JOINT5],10,-0.228899568652,-0.0917576389161,-0.000294491736096,-1.16037359886e-14,6.69470783169e-16,-1.0,88.5111574443,27.4721280595,343.4714548,-0.00469424636756,0.00127606430644,-3.52231734971
3.37,Terrain0,hrp2[LLEG_JOINT5],10,0.211521010704,0.123794985241,-3.98770740557e-05,-1.14194518291e-15,4.06180353896e-15,-1.0,-82.3586121075,-24.9751650878,207.162895569,-0.000477847638055,-0.000510753770093,-3.6190402311
3.39,Terrain0,hrp2[RLEG_JOINT5],10,-0.271875138415,-0.0823690998024,-0.00020159505385,6.41612094493e-15,9.48317537983e-16,-1.0,88.2862078233,27.5718514607,338.864244995,-0.00404645955954,0.00176445238677,-3.13998454755
3.39,Terrain0,hrp2[LLEG_JOINT5],10,0.255516144948,0.128707134521,-4.5052269898e-05,-1.15604998975e-15,-2.0795525695e-15,-1.0,-94.7052083492,-29.2539814165,214.679387754,-0.000355636508584,-0.00134960534754,-4.16787635644
3.41,Terrain0,hrp2[RLEG_JOINT5],10,-0.271875946823,-0.0823690641949,-0.000187787773039,-1.53681929445e-15,-2.7938078761e-16,-1.0,90.319427794,27.0548290414,341.863099056,-0.00416982285646,0.00163323821004,-3.42165793245
3.41,Terrain0,hrp2[LLEG_JOINT5],10,0.255682368592,0.128707172592,-4.26860393561e-05,2.84708181915e-16,-2.84225071591e-16,-1.0,-86.8354943777,-28.058257664,209.169690766,-0.000410772834217,-0.000949226818312,-4.09275686256
3.43,Terrain0,hrp2[RLEG_JOINT5],10,-0.27233735904,-0.0863345344964,-0.00017917312018,-1.53674229531e-15,-1.11758296554e-16,-1.0,88.0111972294,26.6081038873,334.060351014,-0.00434721872168,0.00144112215256,-3.43571888561
3.43,Terrain0,hrp2[LLEG_JOINT5],10,0.212198466523,0.126421260791,-3.4673005517e-05,-2.25374263443e-15,0.0,-1.0,-105.299009119,-25.5476590591,211.696602265,-0.000215437829593,-0.00144691236777,-4.47215531965
3.45,Terrain0,hrp2[RLEG_JOINT5],11,-0.282302998524,-0.0758502093031,-0.000152358086052,0.0,2.53982271899e-16,-1.0,91.7654595026,26.7526393157,345.687845883,-0.00455009466108,0.00127330010552,-3.71042737145
